SMILES,Metal,LogK1
CCOC(=O)CN(CCN(CC(=O)O)CC(=O)OCC)CC(=O)O,Er+++,10.21
CCOC(=O)CN(CCN(CC(=O)O)CC(=O)OCC)CC(=O)O,Gd+++,10.23
CCOC(=O)CN(CCN(CC(=O)O)CC(=O)OCC)CC(=O)O,Ho+++,10.49
CCOC(=O)CN(CCN(CC(=O)O)CC(=O)OCC)CC(=O)O,Lu+++,10.39
CCOC(=O)CN(CCN(CC(=O)O)CC(=O)OCC)CC(=O)O,Nd+++,10.35
CCOC(=O)CN(CCN(CC(=O)O)CC(=O)OCC)CC(=O)O,Pr+++,10.14
CCOC(=O)CN(CCN(CC(=O)O)CC(=O)OCC)CC(=O)O,Sm+++,10.36
CCOC(=O)CN(CCN(CC(=O)O)CC(=O)OCC)CC(=O)O,Tm+++,10.44
CCOC(=O)CN(CCN(CC(=O)O)CC(=O)OCC)CC(=O)O,Yb+++,10.66
O=[N+]([O-])c1ccccc1O,Ce+++,2.4
Oc1cccc2cccnc12,Sm+++,6.84
Oc1cccc2cccnc12,Tb+++,7.48
Oc1cccc2cccnc12,Dy+++,7.6
Oc1cccc2cccnc12,Gd+++,7.13
Oc1cccc2cccnc12,Nd+++,7.52
CC(O)CN1CCN(C(CO)C(=O)O)CCN(C(CO)C(=O)O)CCN(C(CO)C(=O)O)CC1,Gd+++,19.4
O=C(O)Cc1ccccc1CN(CC(=O)O)CC(=O)O,Yb+++,10.73
CNCc1ccc2ccc3ccc(CNC)nc3c2n1,Ce+++,6.84
CNCc1ccc2ccc3ccc(CNC)nc3c2n1,Eu+++,7.47
CNCc1ccc2ccc3ccc(CNC)nc3c2n1,Tb+++,7.83
CNCc1ccc2ccc3ccc(CNC)nc3c2n1,Dy+++,7.95
CNCc1ccc2ccc3ccc(CNC)nc3c2n1,Gd+++,7.6
CNCc1ccc2ccc3ccc(CNC)nc3c2n1,Ho+++,7.99
CNCc1ccc2ccc3ccc(CNC)nc3c2n1,Nd+++,7.1
CNCc1ccc2ccc3ccc(CNC)nc3c2n1,Pr+++,7.05
CNCc1ccc2ccc3ccc(CNC)nc3c2n1,Sm+++,7.39
C1COCCN2CCOCCOCCN(CCO1)CCOCC2,Eu+++,3.4
C1COCCN2CCOCCOCCN(CCO1)CCOCC2,Er+++,6.6
C1COCCN2CCOCCOCCN(CCO1)CCOCC2,Pr+++,6.58
C1COCCN2CCOCCOCCN(CCO1)CCOCC2,Sm+++,6.76
C1COCCN2CCOCCOCCN(CCO1)CCOCC2,Tm+++,6.88
CCP(=O)(O)CN1CCN(CP(=O)(O)CC)CCN(CP(=O)(O)CC)CCN(CP(=O)(O)CC)CC1,Gd+++,16.5
CCP(=O)(O)CN1CCN(CP(=O)(O)CC)CCN(CP(=O)(O)CC)CCN(CP(=O)(O)CC)CC1,Ce+++,15.8
O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1,Ce+++,1.0
CC(CC(=O)O)N(CCN(CC(=O)O)C(C)CC(=O)O)CC(=O)O,Ce+++,14.77
CC(CC(=O)O)N(CCN(CC(=O)O)C(C)CC(=O)O)CC(=O)O,Eu+++,16.31
CC(CC(=O)O)N(CCN(CC(=O)O)C(C)CC(=O)O)CC(=O)O,Tb+++,17.13
CC(CC(=O)O)N(CCN(CC(=O)O)C(C)CC(=O)O)CC(=O)O,Dy+++,17.58
CC(CC(=O)O)N(CCN(CC(=O)O)C(C)CC(=O)O)CC(=O)O,Er+++,18.19
CC(CC(=O)O)N(CCN(CC(=O)O)C(C)CC(=O)O)CC(=O)O,Gd+++,16.48
CC(CC(=O)O)N(CCN(CC(=O)O)C(C)CC(=O)O)CC(=O)O,Ho+++,17.85
CC(CC(=O)O)N(CCN(CC(=O)O)C(C)CC(=O)O)CC(=O)O,Lu+++,18.9
CC(CC(=O)O)N(CCN(CC(=O)O)C(C)CC(=O)O)CC(=O)O,Nd+++,15.35
CC(CC(=O)O)N(CCN(CC(=O)O)C(C)CC(=O)O)CC(=O)O,Pr+++,15.09
CC(CC(=O)O)N(CCN(CC(=O)O)C(C)CC(=O)O)CC(=O)O,Sm+++,16.0
CC(CC(=O)O)N(CCN(CC(=O)O)C(C)CC(=O)O)CC(=O)O,Tm+++,18.45
CC(CC(=O)O)N(CCN(CC(=O)O)C(C)CC(=O)O)CC(=O)O,Yb+++,18.7
CC1CC(C)N(CC(=O)O)CCN(CC(=O)O)C(C)CC(C)N(CC(=O)O)CCN1CC(=O)O,Eu+++,18.2
CC1CC(C)N(CC(=O)O)CCN(CC(=O)O)C(C)CC(C)N(CC(=O)O)CCN1CC(=O)O,Dy+++,18.18
CC1CC(C)N(CC(=O)O)CCN(CC(=O)O)C(C)CC(C)N(CC(=O)O)CCN1CC(=O)O,Gd+++,18.23
CC1CC(C)N(CC(=O)O)CCN(CC(=O)O)C(C)CC(C)N(CC(=O)O)CCN1CC(=O)O,Nd+++,18.21
CC1CC(C)N(CC(=O)O)CCN(CC(=O)O)C(C)CC(C)N(CC(=O)O)CCN1CC(=O)O,Pr+++,18.19
CC1CC(C)N(CC(=O)O)CCN(CC(=O)O)C(C)CC(C)N(CC(=O)O)CCN1CC(=O)O,Sm+++,18.18
CC1CC(C)N(CC(=O)O)CCN(CC(=O)O)C(C)CC(C)N(CC(=O)O)CCN1CC(=O)O,Yb+++,18.12
CCCNC(=O)CN1CCN(CC(=O)O)CCN(CC(=O)O)CCN(CC(=O)O)CC1,Gd+++,20.1
O=C(O)CN1CCNCCN(CC(=O)O)CCN(CC(=O)O)CC1,Eu+++,20.05
O=C(O)CN1CCNCCN(CC(=O)O)CCN(CC(=O)O)CC1,Ce+++,19.7
O=C(O)CN1CCNCCN(CC(=O)O)CCN(CC(=O)O)CC1,Gd+++,22.02
O=C(O)CN1CCNCCN(CC(=O)O)CCN(CC(=O)O)CC1,Lu+++,23.0
Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C1O,Ce+++,7.0
Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C1O,Eu+++,7.28
Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C1O,Tb+++,7.34
Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C1O,Dy+++,7.43
Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C1O,Gd+++,7.19
Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C1O,Nd+++,7.16
Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C1O,Pr+++,7.13
Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C1O,Sm+++,7.22
Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C1O,Tm+++,6.45
Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C1O,Er+++,6.47
Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C1O,Ho+++,6.48
Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C1O,Lu+++,6.33
Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C1O,Yb+++,6.44
COC(=O)[C@H](Cc1ccccc1)NC(=O)[C@@H](N)CC(=O)O,Pr+++,0.85
Cc1ccc2c(S(=O)(=O)O)ccc(O)c2n1,Tb+++,5.46
Cc1ccc2c(S(=O)(=O)O)ccc(O)c2n1,Dy+++,5.57
Cc1ccc2c(S(=O)(=O)O)ccc(O)c2n1,Gd+++,5.39
Cc1ccc2c(S(=O)(=O)O)ccc(O)c2n1,Nd+++,4.95
Cc1ccc2c(S(=O)(=O)O)ccc(O)c2n1,Pr+++,4.84
Cc1ccc2c(S(=O)(=O)O)ccc(O)c2n1,Sm+++,5.15
O=S(=O)(O)c1cc(O)c(/N=N/c2ccc3ccccc3c2O)c2ccccc12,Tb+++,13.8
O=S(=O)(O)c1cc(O)c(/N=N/c2ccc3ccccc3c2O)c2ccccc12,Dy+++,13.82
O=S(=O)(O)c1cc(O)c(/N=N/c2ccc3ccccc3c2O)c2ccccc12,Gd+++,13.37
O=S(=O)(O)c1cc(O)c(/N=N/c2ccc3ccccc3c2O)c2ccccc12,Ho+++,13.96
O=S(=O)(O)c1cc(O)c(/N=N/c2ccc3ccccc3c2O)c2ccccc12,Nd+++,12.47
O=S(=O)(O)c1cc(O)c(/N=N/c2ccc3ccccc3c2O)c2ccccc12,Pr+++,12.43
C/C(=N\O)C(C)(C)NCCCNC(C)(C)/C(C)=N/O,Gd+++,15.53
O=C(O)CNNCC(=O)O,Eu+++,6.49
O=C(O)CNNCC(=O)O,Tb+++,6.51
O=C(O)CNNCC(=O)O,Dy+++,6.55
O=C(O)CNNCC(=O)O,Er+++,6.46
O=C(O)CNNCC(=O)O,Gd+++,6.48
O=C(O)CNNCC(=O)O,Ho+++,6.5
O=C(O)CNNCC(=O)O,Lu+++,6.44
O=C(O)CNNCC(=O)O,Nd+++,3.69
O=C(O)CNNCC(=O)O,Pr+++,6.1
O=C(O)CNNCC(=O)O,Sm+++,6.43
O=C(O)CNNCC(=O)O,Tm+++,6.41
O=C(O)CNNCC(=O)O,Yb+++,6.48
O=C(c1ccccc1)N(O)c1ccccc1,Nd+++,7.88
CSCCC(NC(=O)CN)C(=O)O,Eu+++,2.6
CSCCC(NC(=O)CN)C(=O)O,Gd+++,2.5
CSCCC(NC(=O)CN)C(=O)O,Ho+++,2.6
CSCCC(NC(=O)CN)C(=O)O,Nd+++,2.4
CSCCC(NC(=O)CN)C(=O)O,Yb+++,2.85
O=Nc1cc(S(=O)(=O)O)c2ccc(S(=O)(=O)O)cc2c1O,Eu+++,3.96
O=Nc1cc(S(=O)(=O)O)c2ccc(S(=O)(=O)O)cc2c1O,Tb+++,3.65
O=Nc1cc(S(=O)(=O)O)c2ccc(S(=O)(=O)O)cc2c1O,Dy+++,3.59
O=Nc1cc(S(=O)(=O)O)c2ccc(S(=O)(=O)O)cc2c1O,Gd+++,3.83
O=Nc1cc(S(=O)(=O)O)c2ccc(S(=O)(=O)O)cc2c1O,Nd+++,3.88
O=Nc1cc(S(=O)(=O)O)c2ccc(S(=O)(=O)O)cc2c1O,Pr+++,3.8
O=Nc1cc(S(=O)(=O)O)c2ccc(S(=O)(=O)O)cc2c1O,Sm+++,4.02
O=c1cc[nH]c(=O)[nH]1,Ce+++,5.13
CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)C3CC12,Eu+++,3.85
CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)C3CC12,Tb+++,4.0
CN(C)[C@@H]1C(O)=C(C(N)=O)C(=O)[C@@]2(O)C(O)=C3C(=O)c4c(O)cccc4[C@@](C)(O)C3CC12,Tm+++,4.65
O=[N+]([O-])c1ccc(O)cc1O,Ce+++,5.82
O=[N+]([O-])c1ccc(O)cc1O,Eu+++,6.21
O=[N+]([O-])c1ccc(O)cc1O,Tb+++,6.19
O=[N+]([O-])c1ccc(O)cc1O,Dy+++,6.24
O=[N+]([O-])c1ccc(O)cc1O,Er+++,6.29
O=[N+]([O-])c1ccc(O)cc1O,Gd+++,6.08
O=[N+]([O-])c1ccc(O)cc1O,Ho+++,6.21
O=[N+]([O-])c1ccc(O)cc1O,Lu+++,6.45
O=[N+]([O-])c1ccc(O)cc1O,Nd+++,6.08
O=[N+]([O-])c1ccc(O)cc1O,Pr+++,6.03
O=[N+]([O-])c1ccc(O)cc1O,Sm+++,6.22
O=[N+]([O-])c1ccc(O)cc1O,Tm+++,6.38
O=[N+]([O-])c1ccc(O)cc1O,Yb+++,6.46
CC(C)NC(=O)CN(CCN(CC(=O)O)CC(=O)NC(C)C)CC(=O)O,Gd+++,12.79
O=[N+]([O-])c1cc2c(O)c(c1)COCCOCCOCCOCCOC2,Eu+++,3.17
O=[N+]([O-])c1cc2c(O)c(c1)COCCOCCOCCOCCOC2,Dy+++,3.05
O=[N+]([O-])c1cc2c(O)c(c1)COCCOCCOCCOCCOC2,Er+++,2.79
O=[N+]([O-])c1cc2c(O)c(c1)COCCOCCOCCOCCOC2,Gd+++,3.03
O=[N+]([O-])c1cc2c(O)c(c1)COCCOCCOCCOCCOC2,Lu+++,2.74
O=[N+]([O-])c1cc2c(O)c(c1)COCCOCCOCCOCCOC2,Nd+++,3.27
O=C(O)C(CO)N1CCNCCN(C(CO)C(=O)O)CCN(C(CO)C(=O)O)CC1,Gd+++,18.29
C[N+](CCCN(CC(=O)O)CC(=O)O)(CCCN(CC(=O)O)CC(=O)O)CC(=O)[O-],Ce+++,8.08
C[N+](CCCN(CC(=O)O)CC(=O)O)(CCCN(CC(=O)O)CC(=O)O)CC(=O)[O-],Eu+++,8.9
C[N+](CCCN(CC(=O)O)CC(=O)O)(CCCN(CC(=O)O)CC(=O)O)CC(=O)[O-],Tb+++,8.87
C[N+](CCCN(CC(=O)O)CC(=O)O)(CCCN(CC(=O)O)CC(=O)O)CC(=O)[O-],Dy+++,9.0
C[N+](CCCN(CC(=O)O)CC(=O)O)(CCCN(CC(=O)O)CC(=O)O)CC(=O)[O-],Er+++,9.54
C[N+](CCCN(CC(=O)O)CC(=O)O)(CCCN(CC(=O)O)CC(=O)O)CC(=O)[O-],Gd+++,8.79
C[N+](CCCN(CC(=O)O)CC(=O)O)(CCCN(CC(=O)O)CC(=O)O)CC(=O)[O-],Ho+++,9.35
C[N+](CCCN(CC(=O)O)CC(=O)O)(CCCN(CC(=O)O)CC(=O)O)CC(=O)[O-],Lu+++,9.83
C[N+](CCCN(CC(=O)O)CC(=O)O)(CCCN(CC(=O)O)CC(=O)O)CC(=O)[O-],Nd+++,8.43
C[N+](CCCN(CC(=O)O)CC(=O)O)(CCCN(CC(=O)O)CC(=O)O)CC(=O)[O-],Pr+++,8.37
C[N+](CCCN(CC(=O)O)CC(=O)O)(CCCN(CC(=O)O)CC(=O)O)CC(=O)[O-],Sm+++,8.71
C[N+](CCCN(CC(=O)O)CC(=O)O)(CCCN(CC(=O)O)CC(=O)O)CC(=O)[O-],Tm+++,9.69
C[N+](CCCN(CC(=O)O)CC(=O)O)(CCCN(CC(=O)O)CC(=O)O)CC(=O)[O-],Yb+++,9.85
O=C(O)CN1CCCN(CC(=O)O)Cc2ccccc2OCCOCCOc2ccccc2C1,Eu+++,5.71
O=C(O)CN1CCCN(CC(=O)O)Cc2ccccc2OCCOCCOc2ccccc2C1,Dy+++,5.83
O=C(O)CN1CCCN(CC(=O)O)Cc2ccccc2OCCOCCOc2ccccc2C1,Gd+++,5.55
O=C(O)CN1CCCN(CC(=O)O)Cc2ccccc2OCCOCCOc2ccccc2C1,Nd+++,5.11
O=C(O)CN1CCCN(CC(=O)O)Cc2ccccc2OCCOCCOc2ccccc2C1,Pr+++,4.91
O=C(O)CN1CCCN(CC(=O)O)Cc2ccccc2OCCOCCOc2ccccc2C1,Sm+++,5.46
O=C(O)CN1CCCN(CC(=O)O)Cc2ccccc2OCCOCCOc2ccccc2C1,Yb+++,6.96
O=P(O)(O)CN(CCO)CCN(CP(=O)(O)O)CP(=O)(O)O,Dy+++,11.75
O=P(O)(O)CN1CCCN(CP(=O)(O)O)CCN(CP(=O)(O)O)CCN(CP(=O)(O)O)CC1,Ho+++,24.07
O=P(O)(O)CN1CCCN(CP(=O)(O)O)CCN(CP(=O)(O)O)CCN(CP(=O)(O)O)CC1,Sm+++,23.83
O=C(O)CN(CCO)CCN(CC(=O)O)CC(=O)O,Ce+++,13.56
O=C(O)CN(CCO)CCN(CC(=O)O)CC(=O)O,Eu+++,14.9
O=C(O)CN(CCO)CCN(CC(=O)O)CC(=O)O,Tb+++,14.82
O=C(O)CN(CCO)CCN(CC(=O)O)CC(=O)O,Dy+++,14.79
O=C(O)CN(CCO)CCN(CC(=O)O)CC(=O)O,Er+++,14.87
O=C(O)CN(CCO)CCN(CC(=O)O)CC(=O)O,Gd+++,14.8
O=C(O)CN(CCO)CCN(CC(=O)O)CC(=O)O,Lu+++,15.32
O=C(O)CN(CCO)CCN(CC(=O)O)CC(=O)O,Nd+++,14.47
O=C(O)CN(CCO)CCN(CC(=O)O)CC(=O)O,Pr+++,14.17
O=C(O)CN(CCO)CCN(CC(=O)O)CC(=O)O,Sm+++,14.85
O=C(O)CN(CCO)CCN(CC(=O)O)CC(=O)O,Tm+++,15.04
O=C(O)CN(CCO)CCN(CC(=O)O)CC(=O)O,Ho+++,15.39
O=C(O)CN(CCO)CCN(CC(=O)O)CC(=O)O,Yb+++,15.91
CC(=O)NNC(=O)c1cccnc1,Ce+++,12.65
CC(=O)NNC(=O)c1cccnc1,Eu+++,13.75
CC(=O)NNC(=O)c1cccnc1,Tb+++,13.85
CC(=O)NNC(=O)c1cccnc1,Dy+++,13.85
CC(=O)NNC(=O)c1cccnc1,Gd+++,13.8
CC(=O)NNC(=O)c1cccnc1,Ho+++,13.9
CC(=O)NNC(=O)c1cccnc1,Nd+++,12.9
CC(=O)NNC(=O)c1cccnc1,Pr+++,12.6
CC(=O)NNC(=O)c1cccnc1,Sm+++,13.75
CC(N)C(=O)NCC(=O)O,Eu+++,2.55
CC(N)C(=O)NCC(=O)O,Gd+++,2.4
CC(N)C(=O)NCC(=O)O,Ho+++,2.45
CC(N)C(=O)NCC(=O)O,Nd+++,2.3
CC(N)C(=O)NCC(=O)O,Yb+++,2.8
CC(=O)C/C(C)=N\c1ccccc1S(=O)(=O)O,Ce+++,17.5
CC(=O)C/C(C)=N\c1ccccc1S(=O)(=O)O,Tb+++,19.3
CC(=O)C/C(C)=N\c1ccccc1S(=O)(=O)O,Dy+++,19.7
CC(=O)C/C(C)=N\c1ccccc1S(=O)(=O)O,Gd+++,18.8
CC(=O)C/C(C)=N\c1ccccc1S(=O)(=O)O,Ho+++,20.1
CC(=O)C/C(C)=N\c1ccccc1S(=O)(=O)O,Nd+++,18.2
CC(=O)C/C(C)=N\c1ccccc1S(=O)(=O)O,Pr+++,17.9
CC(=O)C/C(C)=N\c1ccccc1S(=O)(=O)O,Sm+++,18.4
Nc1ccc2c(O)cc(S(=O)(=O)O)cc2c1/N=N/c1ccc(Cl)cc1,Ce+++,10.74
Nc1ccc2c(O)cc(S(=O)(=O)O)cc2c1/N=N/c1ccc(Cl)cc1,Eu+++,8.78
Nc1ccc2c(O)cc(S(=O)(=O)O)cc2c1/N=N/c1ccc(Cl)cc1,Tb+++,10.42
Nc1ccc2c(O)cc(S(=O)(=O)O)cc2c1/N=N/c1ccc(Cl)cc1,Dy+++,11.17
Nc1ccc2c(O)cc(S(=O)(=O)O)cc2c1/N=N/c1ccc(Cl)cc1,Gd+++,10.77
Nc1ccc2c(O)cc(S(=O)(=O)O)cc2c1/N=N/c1ccc(Cl)cc1,Ho+++,9.0
Nc1ccc2c(O)cc(S(=O)(=O)O)cc2c1/N=N/c1ccc(Cl)cc1,Pr+++,10.18
Nc1ccc2c(O)cc(S(=O)(=O)O)cc2c1/N=N/c1ccc(Cl)cc1,Sm+++,10.52
Nc1ccc2c(O)cc(S(=O)(=O)O)cc2c1/N=N/c1ccc(Cl)cc1,Yb+++,8.38
COCCNC(=O)CN(CCN(CCN(CC(=O)O)CC(=O)NCCOC)CC(=O)O)CC(=O)O,Dy+++,17.03
COCCNC(=O)CN(CCN(CCN(CC(=O)O)CC(=O)NCCOC)CC(=O)O)CC(=O)O,Gd+++,16.84
COCCNC(=O)CN(CCN(CCN(CC(=O)O)CC(=O)NCCOC)CC(=O)O)CC(=O)O,Lu+++,18.0
COCCNC(=O)CN(CCN(CCN(CC(=O)O)CC(=O)NCCOC)CC(=O)O)CC(=O)O,Nd+++,15.66
O=C(O)CN1CCOCCOCCN(CC(=O)O)CCN(CC(=O)O)CC1,Ce+++,9.26
O=C(O)CN1CCOCCOCCN(CC(=O)O)CCN(CC(=O)O)CC1,Eu+++,11.85
O=C(O)CN1CCOCCOCCN(CC(=O)O)CCN(CC(=O)O)CC1,Gd+++,9.98
O=C(O)CN1CCOCCOCCN(CC(=O)O)CCN(CC(=O)O)CC1,Yb+++,9.74
Nc1ccccc1O,Tb+++,6.28
Nc1ccccc1O,Dy+++,6.3
Nc1ccccc1O,Gd+++,6.26
COCCN(CCO)C(=O)CN(CCN(CCN(CC(=O)O)CC(=O)N(CCO)CCOC)CC(=O)O)CC(=O)O,Dy+++,17.61
COCCN(CCO)C(=O)CN(CCN(CCN(CC(=O)O)CC(=O)N(CCO)CCOC)CC(=O)O)CC(=O)O,Gd+++,17.49
COCCN(CCO)C(=O)CN(CCN(CCN(CC(=O)O)CC(=O)N(CCO)CCOC)CC(=O)O)CC(=O)O,Lu+++,17.75
COCCN(CCO)C(=O)CN(CCN(CCN(CC(=O)O)CC(=O)N(CCO)CCOC)CC(=O)O)CC(=O)O,Nd+++,17.49
CCCC(CN(CC(=O)O)CC(=O)O)N(CC(=O)O)CC(=O)O,Ce+++,17.13
CCCC(CN(CC(=O)O)CC(=O)O)N(CC(=O)O)CC(=O)O,Eu+++,18.38
CCCC(CN(CC(=O)O)CC(=O)O)N(CC(=O)O)CC(=O)O,Tb+++,19.02
CCCC(CN(CC(=O)O)CC(=O)O)N(CC(=O)O)CC(=O)O,Dy+++,19.48
CCCC(CN(CC(=O)O)CC(=O)O)N(CC(=O)O)CC(=O)O,Er+++,20.09
CCCC(CN(CC(=O)O)CC(=O)O)N(CC(=O)O)CC(=O)O,Gd+++,18.53
CCCC(CN(CC(=O)O)CC(=O)O)N(CC(=O)O)CC(=O)O,Ho+++,19.77
CCCC(CN(CC(=O)O)CC(=O)O)N(CC(=O)O)CC(=O)O,Lu+++,20.99
CCCC(CN(CC(=O)O)CC(=O)O)N(CC(=O)O)CC(=O)O,Nd+++,17.76
CCCC(CN(CC(=O)O)CC(=O)O)N(CC(=O)O)CC(=O)O,Pr+++,17.48
CCCC(CN(CC(=O)O)CC(=O)O)N(CC(=O)O)CC(=O)O,Sm+++,18.25
CCCC(CN(CC(=O)O)CC(=O)O)N(CC(=O)O)CC(=O)O,Tm+++,20.46
CCCC(CN(CC(=O)O)CC(=O)O)N(CC(=O)O)CC(=O)O,Yb+++,20.8
O=C(O)CN1CCN(CCO)CCN(CC(=O)O)CCN(CC(=O)O)CC1,Gd+++,22.3
CN(C)C(=O)c1cc(S(=O)(=O)O)cc(O)c1O,Eu+++,12.0
CN(C)C(=O)c1cc(S(=O)(=O)O)cc(O)c1O,Lu+++,13.3
O=C(O)CN(CC(=O)O)c1ccccc1C(=O)O,Ce+++,8.69
CN(C)c1ccc(/C=C/C(=O)C(=O)O)c(Cl)c1,Ce+++,1.96
CN(C)c1ccc(/C=C/C(=O)C(=O)O)c(Cl)c1,Eu+++,2.15
CN(C)c1ccc(/C=C/C(=O)C(=O)O)c(Cl)c1,Tb+++,2.01
CN(C)c1ccc(/C=C/C(=O)C(=O)O)c(Cl)c1,Dy+++,2.02
CN(C)c1ccc(/C=C/C(=O)C(=O)O)c(Cl)c1,Er+++,2.09
CN(C)c1ccc(/C=C/C(=O)C(=O)O)c(Cl)c1,Gd+++,2.08
CN(C)c1ccc(/C=C/C(=O)C(=O)O)c(Cl)c1,Ho+++,2.03
CN(C)c1ccc(/C=C/C(=O)C(=O)O)c(Cl)c1,Lu+++,2.25
CN(C)c1ccc(/C=C/C(=O)C(=O)O)c(Cl)c1,Nd+++,2.15
CN(C)c1ccc(/C=C/C(=O)C(=O)O)c(Cl)c1,Pr+++,2.07
CN(C)c1ccc(/C=C/C(=O)C(=O)O)c(Cl)c1,Sm+++,2.22
CN(C)c1ccc(/C=C/C(=O)C(=O)O)c(Cl)c1,Tm+++,2.13
CN(C)c1ccc(/C=C/C(=O)C(=O)O)c(Cl)c1,Yb+++,2.11
O=C(O)CN(CCCN(CCN(CC(=O)O)CC(=O)O)C(CO)c1ccccc1)CC(=O)O,Gd+++,17.16
O=C(O)CN(CCOCCOCCN(CC(=O)O)CC(=O)O)CC(=O)O,Ce+++,15.7
O=C(O)CN(CCOCCOCCN(CC(=O)O)CC(=O)O)CC(=O)O,Eu+++,17.1
O=C(O)CN(CCOCCOCCN(CC(=O)O)CC(=O)O)CC(=O)O,Tb+++,17.27
O=C(O)CN(CCOCCOCCN(CC(=O)O)CC(=O)O)CC(=O)O,Dy+++,17.42
O=C(O)CN(CCOCCOCCN(CC(=O)O)CC(=O)O)CC(=O)O,Er+++,17.4
O=C(O)CN(CCOCCOCCN(CC(=O)O)CC(=O)O)CC(=O)O,Gd+++,16.94
O=C(O)CN(CCOCCOCCN(CC(=O)O)CC(=O)O)CC(=O)O,Ho+++,17.38
O=C(O)CN(CCOCCOCCN(CC(=O)O)CC(=O)O)CC(=O)O,Lu+++,17.81
O=C(O)CN(CCOCCOCCN(CC(=O)O)CC(=O)O)CC(=O)O,Nd+++,16.28
O=C(O)CN(CCOCCOCCN(CC(=O)O)CC(=O)O)CC(=O)O,Pr+++,16.05
O=C(O)CN(CCOCCOCCN(CC(=O)O)CC(=O)O)CC(=O)O,Sm+++,16.88
O=C(O)CN(CCOCCOCCN(CC(=O)O)CC(=O)O)CC(=O)O,Tm+++,17.48
O=C(O)CN(CCOCCOCCN(CC(=O)O)CC(=O)O)CC(=O)O,Yb+++,17.78
OC[C@H]1O[C@@H](n2cnc3c(O)ncnc32)C(O)C1O,Dy+++,4.52
OC[C@H]1O[C@@H](n2cnc3c(O)ncnc32)C(O)C1O,Er+++,4.71
OC[C@H]1O[C@@H](n2cnc3c(O)ncnc32)C(O)C1O,Gd+++,4.41
OC[C@H]1O[C@@H](n2cnc3c(O)ncnc32)C(O)C1O,Nd+++,4.29
OC[C@H]1O[C@@H](n2cnc3c(O)ncnc32)C(O)C1O,Pr+++,4.21
OC[C@H]1O[C@@H](n2cnc3c(O)ncnc32)C(O)C1O,Sm+++,4.39
O=C(O)CN1CCN(CC(=O)O)CC(=O)OCCOCCOCCOCCOC(=O)C1,Ce+++,8.57
O=C(O)CN1CCN(CC(=O)O)CC(=O)OCCOCCOCCOCCOC(=O)C1,Eu+++,9.89
O=C(O)CN1CCN(CC(=O)O)CC(=O)OCCOCCOCCOCCOC(=O)C1,Dy+++,9.49
O=C(O)CN1CCN(CC(=O)O)CC(=O)OCCOCCOCCOCCOC(=O)C1,Er+++,9.08
O=C(O)CN1CCN(CC(=O)O)CC(=O)OCCOCCOCCOCCOC(=O)C1,Gd+++,10.04
O=C(O)CN1CCN(CC(=O)O)CC(=O)OCCOCCOCCOCCOC(=O)C1,Ho+++,9.13
O=C(O)CN1CCN(CC(=O)O)CC(=O)OCCOCCOCCOCCOC(=O)C1,Lu+++,8.93
O=C(O)CN1CCN(CC(=O)O)CC(=O)OCCOCCOCCOCCOC(=O)C1,Nd+++,9.04
O=C(O)CN1CCN(CC(=O)O)CC(=O)OCCOCCOCCOCCOC(=O)C1,Pr+++,8.85
O=C(O)CN1CCN(CC(=O)O)CC(=O)OCCOCCOCCOCCOC(=O)C1,Sm+++,9.71
O=C(O)CN1CCN(CC(=O)O)CC(=O)OCCOCCOCCOCCOC(=O)C1,Tm+++,8.94
