file_label,train_rmse,train_mae,train_r2,train_pcc,test_rmse,test_mae,test_r2,test_pcc
fold4_khopgnn_gcn_1_noedge,1.068042596587529,0.5124576058146367,0.9689586697383537,0.9848125896341001,2.023604817495756,1.0104028955670714,0.9014372361460063,0.9501773334858834
fold4_khopgnn_mpnn_1_noedge,1.0627699387663136,0.510879631965649,0.9692643997040137,0.9847309480407119,1.9751705701177698,0.9840738796095811,0.9060989008160703,0.9521685095472782
fold4_khopgnn_gin_3_noedge,0.9193788550285652,0.38319958195633896,0.9769987097240048,0.9887241862884227,2.257325127502368,1.0666660165968742,0.877355042813488,0.9405815572761809
fold4_khopgnn_graphsage_2_noedge,0.7156403990166502,0.3205429703613648,0.9860635270892957,0.9930341643667893,2.206515935359904,1.0408770528458458,0.8828140350504214,0.9397683992779339
fold4_khopgnn_gin_1_noedge,0.9054547002117719,0.4193038140042984,0.9776901509629279,0.9887944638177981,2.1388002907158588,1.0579853289909946,0.8898962950870178,0.9445353791409121
fold4_khopgnn_gin_2_noedge,0.8448323262673082,0.3628010379659473,0.9805775405733581,0.9903095320604656,2.1958812503356,1.0689439505111171,0.8839409089443045,0.9418324037358449
fold4_khopgnn_graphsage_3_noedge,0.8422388670856339,0.38818057705628256,0.980696603349212,0.9903192840040541,2.2913774736879255,1.0554058460788873,0.8736268698980731,0.9366339626783884
fold4_khopgnn_mpnn_3_noedge,0.7485733017607868,0.33566142325802506,0.9847513342771533,0.9923723217455513,2.2300537766619093,1.0413248197722982,0.8803005552208704,0.9390973254182582
fold4_khopgnn_gcn_3_noedge,0.8898129394052071,0.39227462727905144,0.9784542999110081,0.9895314916666401,2.295078613382823,1.0678630289230637,0.8732182926480498,0.9348818481050595
fold4_khopgnn_graphsage_1_noedge,0.9641239837732978,0.4776160794527447,0.9747053339649829,0.98734079882922,1.984483528063414,1.0228458124262687,0.905211323171876,0.9536270493198075
fold4_khopgnn_gcn_2_noedge,1.002012299683743,0.4270623389322401,0.9726782016529728,0.9864085379504088,2.1344694711548233,0.9968850366941845,0.8903417378048447,0.9449433983273962
fold4_khopgnn_mpnn_2_noedge,0.7746773155618948,0.3357497554087659,0.983669297979358,0.991846797972799,2.2516575124691127,1.0230250991027774,0.87797013522744,0.938699936499466
fold3_khopgnn_graphsage_3_noedge,0.6520376438863854,0.3298676621033839,0.9886984998597795,0.9945330329697984,1.5049266441125235,0.7537282223863001,0.9374929914588106,0.968621676332048
fold3_khopgnn_mpnn_2_noedge,1.0481544577390354,0.5004457803305397,0.9707960680849403,0.9855332549805977,1.5255430256225042,0.7473070771639584,0.9357686612510183,0.9674192923831009
fold3_khopgnn_mpnn_1_noedge,1.182589939152972,0.604353056948776,0.962824303345994,0.981476526157415,1.6518987055673033,0.8399154212866121,0.9246878791023431,0.9620609790861476
fold3_khopgnn_gin_2_noedge,0.7639007210378387,0.3358494380234066,0.984488114306751,0.9922914127653499,1.526617716241431,0.7248871478301878,0.9356781320031321,0.9675151424606372
fold3_khopgnn_gcn_1_noedge,1.302590302153346,0.6801650073684834,0.9548968953989704,0.9774026107331559,1.7376134710855833,0.9096510762647363,0.9166694204837064,0.9584512035552455
fold3_khopgnn_graphsage_2_noedge,0.6643885975358652,0.324669868527642,0.9882662968582265,0.9941264541956051,1.621990620858454,0.7814876465624525,0.9273902854259337,0.963014027875441
fold3_khopgnn_gcn_3_noedge,1.105902975150285,0.5312368874817831,0.9674894131742721,0.9836537004508568,1.566695480917201,0.7532387849028784,0.9322565619375148,0.9655429160548474
fold3_khopgnn_gcn_2_noedge,1.0933416776646696,0.5109833621108637,0.9682237559074438,0.9844811829855856,1.5724386493918532,0.7601544236522595,0.931758985872052,0.9652791430984187
fold3_khopgnn_gin_3_noedge,0.7089530683267091,0.3291905293170972,0.986639407172526,0.9934537631549006,1.7085649917302679,0.7359903433736954,0.9194322826476766,0.9590228100806669
fold3_khopgnn_mpnn_3_noedge,1.157117911508997,0.5670873638150106,0.9644085248554728,0.9820875033977761,1.6673461558569518,0.7994017331996037,0.9232727562303992,0.9608917033691968
fold3_khopgnn_gin_1_noedge,1.2563476943621774,0.6556659841747456,0.9580424181914052,0.9792428337452507,1.8027759846762546,0.9540232186781541,0.9103022435328628,0.9541001897850822
fold3_khopgnn_graphsage_1_noedge,1.1703200192462895,0.6126990373591454,0.9635917316126839,0.9819273948524742,1.7586925380064429,0.9329136784778524,0.9146353833760243,0.9563898940011321
fold6_khopgnn_gcn_3_noedge,0.9398423194287241,0.3982405245426685,0.9763064271297167,0.9883804063041669,1.3948694152522403,0.6687892220402492,0.9446890423862169,0.9726963778512002
fold6_khopgnn_graphsage_1_noedge,0.9439429142163456,0.4441398627777141,0.9760992228098954,0.9880468641281885,1.5909297575879324,0.7556793439479275,0.9280474674844074,0.9637314092221201
fold6_khopgnn_gcn_1_noedge,1.186598097033287,0.5931430433165774,0.9622316634999286,0.9810584215615228,1.5877781239236375,0.7740106409742632,0.9283322612143255,0.964002543016936
fold6_khopgnn_mpnn_3_noedge,0.8711724168437192,0.38255542080492333,0.9796422960512667,0.9898291776335162,1.6221384343849543,0.7576030288033813,0.9251968471914781,0.9623575393181195
fold6_khopgnn_gcn_2_noedge,0.986227662922165,0.43788167912536113,0.9739099493771222,0.9869857475218761,1.749489065832484,0.8013629067035122,0.9129905268269769,0.955707012552911
fold6_khopgnn_graphsage_2_noedge,0.8782703093671437,0.4101495439382994,0.9793092151664058,0.9896727138759216,1.5689091451945159,0.7783737441965641,0.9300255226903624,0.965710309872718
fold6_khopgnn_gin_3_noedge,0.9347397074188654,0.4189573553820266,0.9765630040319846,0.9889407003839132,1.6664266540175645,0.7755959029416092,0.9210564811472416,0.9630933741209089
fold6_khopgnn_mpnn_2_noedge,1.1122615326293173,0.521569687978826,0.9668155673660681,0.9833290378008234,1.7110731853876016,0.7765802226903784,0.9167697412314154,0.9585130625893611
fold6_khopgnn_gin_2_noedge,0.8873638552220139,0.34956212217520266,0.9788785353228561,0.989404028857891,1.6686866809068541,0.7781764828521787,0.9208422077391825,0.9609718603570787
fold6_khopgnn_graphsage_3_noedge,0.6944315940554424,0.31665498009826465,0.9870646106721931,0.993650894730221,1.5900082992485343,0.7840128263444391,0.9281307924208306,0.9656754265931069
fold6_khopgnn_gin_1_noedge,0.8693109347180521,0.40287799652244827,0.9797292019600954,0.990024023850564,1.5050178281246835,0.7414310483532097,0.9356086748082888,0.9673170224129186
fold6_khopgnn_mpnn_1_noedge,1.048374401244177,0.5277780970486576,0.9705182419467319,0.985292707594496,1.392899054806811,0.7657240415347442,0.9448451939926508,0.9721747566132194
fold2_khopgnn_mpnn_1_noedge,0.8718324667759496,0.4334412692958944,0.9796130359601876,0.9901204342470594,1.979315653478904,0.9249310125756173,0.8806410046026607,0.9456393411495816
fold2_khopgnn_mpnn_2_noedge,0.9845737974187668,0.4812115256431093,0.9739994204628598,0.9869229355968698,1.8229019326546154,0.8600722763814853,0.8987601141093158,0.9510446747241309
fold2_khopgnn_gcn_3_noedge,0.7627920005560275,0.3446408212886953,0.984393743492998,0.9924427062349318,1.8859933068816217,0.8571833020267378,0.8916309339483636,0.9486963819720795
fold2_khopgnn_gcn_1_noedge,1.0819855773856817,0.5543533330703267,0.9686000161680867,0.9848622125371199,1.8897516692719587,0.9164583213315717,0.891198593027802,0.9501824077987139
fold2_khopgnn_mpnn_3_noedge,0.7752076906366742,0.3643196912487713,0.9838815741345046,0.9919802433751714,1.8476603938766538,0.8978190659456833,0.895991379763226,0.9508760342423882
fold2_khopgnn_graphsage_2_noedge,0.7251667625800958,0.3393587384022815,0.9858953516952271,0.9929732934217415,2.0209832655406244,0.9637869382879126,0.8755627310296931,0.9415846969219176
fold2_khopgnn_graphsage_1_noedge,0.9595906706638829,0.48330378887787434,0.975302186037722,0.9879465473313538,1.908450709074582,0.9304023781090182,0.8890347664857329,0.9496160029515693
fold2_khopgnn_gcn_2_noedge,0.8658231238338521,0.37606414986102493,0.9798931127835377,0.9899681883087159,1.8112497410995303,0.867852127993968,0.9000502507234531,0.9507031768278237
fold2_khopgnn_gin_1_noedge,0.8577918871752541,0.3886562971005444,0.980264399295219,0.990120224177416,1.9384407931575178,0.8860281026805309,0.8855198690470217,0.9464852063226951
fold2_khopgnn_gin_2_noedge,0.793607322783766,0.3718358511736133,0.9831073488358406,0.9923103992073978,1.877612235374307,0.8818566135127281,0.892591945662984,0.950035524369107
fold2_khopgnn_graphsage_3_noedge,0.9468389671984644,0.44739041833530485,0.9759542278815465,0.9879292523893934,1.793260023670345,0.8757782362741436,0.9020258351064084,0.9528673565504713
fold2_khopgnn_gin_3_noedge,0.8868134985241048,0.40761968162077844,0.9789063822795779,0.9896300496060989,1.8687128735286318,0.8681250150269428,0.8936077015890225,0.9491221227549627
fold9_khopgnn_mpnn_1_noedge,0.9021293426631628,0.41867654287852757,0.9775919034393836,0.9891530768815805,1.5310434528582832,0.76396622575592,0.9449738914517081,0.9722674345529994
fold9_khopgnn_gcn_1_noedge,1.153506553590082,0.571471703226794,0.9633640479426233,0.9816036283145686,1.4525797917494592,0.7991087468952396,0.9504693801313153,0.9749305264204254
fold9_khopgnn_graphsage_3_noedge,0.6156517515179005,0.30715250933847515,0.9895639154687517,0.9947790808496223,1.5025823151012039,0.7827699448742712,0.9470006780744807,0.9733168852906787
fold9_khopgnn_graphsage_2_noedge,0.8426333891046726,0.4184124931652218,0.980450093831761,0.9908377230036534,1.5492560066563217,0.8167932096527506,0.9436569770276347,0.9717124621327935
fold9_khopgnn_gcn_3_noedge,0.8956440082175045,0.37801293083046894,0.9779129253426306,0.9889263954869234,1.5449175444391088,0.7536545461114809,0.943972095785783,0.9717820461473538
fold9_khopgnn_mpnn_2_noedge,1.002829514695026,0.45990920726353773,0.9723100887228443,0.9862289480952837,1.5327399373777364,0.7705180531097505,0.9448518796822064,0.9724051840788963
fold9_khopgnn_gin_3_noedge,0.8935854911107967,0.3926903190056611,0.9780143369998309,0.989234734786184,1.6411632030823164,0.8371937006911021,0.9367737667500232,0.9687400045244011
fold9_khopgnn_gcn_2_noedge,1.0023039780193634,0.41493716999501146,0.9723391031279375,0.986082225139752,1.5622726442460193,0.775170729175665,0.9427062269164522,0.9711385341451508
fold9_khopgnn_graphsage_1_noedge,0.9330361393561314,0.458073836852986,0.9760302071561867,0.9880430951025385,1.502293432118605,0.8420002694092407,0.9470210551683003,0.9733809165980256
fold9_khopgnn_gin_2_noedge,0.8721924565853016,0.37702016663969873,0.9790544387573835,0.989485000408822,1.5324313043257505,0.8049353246669505,0.9448740867359142,0.9723017870026306
fold9_khopgnn_gin_1_noedge,0.8517101295835539,0.39786800786650317,0.980026647150484,0.9899793481555724,1.4177541641058324,0.78050481046031,0.95281590492901,0.9761585215747866
fold9_khopgnn_mpnn_3_noedge,1.4324248046153412,0.6253173615353543,0.943504869626918,0.9714933312986233,2.4189008097825586,1.0289196221172128,0.8626496131301777,0.9301067983434101
fold7_khopgnn_gin_3_noedge,0.8277372499955473,0.41984553365982824,0.9812545816391401,0.9913501486350603,2.0454377027784867,0.90591430999623,0.886513843686835,0.9425663872416652
fold7_khopgnn_mpnn_2_noedge,0.9226837606236633,0.4453640543066523,0.9767075113878391,0.9883420606597425,2.136400070240345,0.940873917561906,0.8761957537377555,0.9373977110779508
fold7_khopgnn_graphsage_1_noedge,0.9769638616822692,0.5104015867750333,0.9738863766169223,0.987122966799262,2.137753170348666,1.0051169065004997,0.8760388799470751,0.9373491288443222
fold7_khopgnn_graphsage_2_noedge,0.7955996780221731,0.39485751721132184,0.9826819362037744,0.9914524609349649,2.4382075469860727,1.0599073455420158,0.8387455472544196,0.9203223298213548
fold7_khopgnn_gcn_1_noedge,0.9880768901107534,0.4997423978688521,0.9732889093394967,0.9867965947290933,2.160504736305635,0.9680374666820956,0.8733862654554196,0.9365060711149702
fold7_khopgnn_gcn_3_noedge,0.7050439898675083,0.31359665364233097,0.9863998854167222,0.9932284418148591,2.181586174992881,0.9192049070510245,0.8709033065537943,0.9352869372903506
fold7_khopgnn_gin_2_noedge,0.8388101873044554,0.40593291077412874,0.9807496987423204,0.9905194147958875,2.0677338561903906,0.9106436553233452,0.8840262632002313,0.9419750378420542
fold7_khopgnn_gin_1_noedge,0.9091561586003957,0.4496276417554391,0.9773854938731624,0.9886724441325256,2.0338435034813007,0.9327798182613977,0.8877967495182294,0.9436947161194443
fold7_khopgnn_mpnn_3_noedge,0.8281934910090112,0.3941523057164808,0.9812339113462903,0.9906021133461095,2.112726378456493,0.9306078204558096,0.8789243295045468,0.9390695308054775
fold7_khopgnn_graphsage_3_noedge,0.6413306007797973,0.32716243644633575,0.9887468511655079,0.9945039536690371,2.393444658734149,0.993273147957698,0.8446121156645537,0.9241312893303396
fold7_khopgnn_mpnn_1_noedge,1.0452610252735315,0.5276037052390998,0.970107677986248,0.984950230206025,2.156341494194621,0.9881158982410686,0.8738737587204728,0.9365124967848825
fold7_khopgnn_gcn_2_noedge,0.97452809693669,0.4818996266685302,0.974016427182182,0.9876376407076718,2.2187796395079973,1.0031752915669034,0.8664638911000089,0.9324463807794947
fold5_khopgnn_gcn_3_noedge,0.9350696670711672,0.3840974760390587,0.9762529962339926,0.9886511310387794,1.7450771154423843,0.802960297533574,0.9209312404557044,0.9618713092840261
fold5_khopgnn_graphsage_3_noedge,0.9773523024135298,0.468652008550795,0.974056822693677,0.9874433773088487,1.5911040634151392,0.8500324487686157,0.9342686051068942,0.9668961414101034
fold5_khopgnn_gin_1_noedge,0.9864453672012913,0.48659933779013825,0.9735718381379439,0.9868323483470112,1.8507908534344837,0.9303998164548218,0.9110613837922678,0.9603324993208281
fold5_khopgnn_mpnn_2_noedge,0.8973801197751219,0.40573782060503194,0.9781287416201305,0.9890343033997248,1.6540409905295574,0.8259756333045377,0.9289656820272474,0.9656121060125321
fold5_khopgnn_gin_2_noedge,1.0161939169148801,0.4893552338678708,0.9719537975475031,0.9859473757832651,1.794859514276721,0.8829062963260039,0.9163556516764678,0.9585444153012755
fold5_khopgnn_mpnn_1_noedge,1.1959802231300005,0.575283464876616,0.9611519808314528,0.9813976940590444,2.0320745209070905,0.9963337010099688,0.8927851506060446,0.9555735325360611
fold5_khopgnn_gcn_1_noedge,1.065619106840306,0.5029033174748059,0.969159253553644,0.9848381121943711,1.8313089785234786,0.904606104352092,0.9129239082682061,0.9583919751097635
fold5_khopgnn_gcn_2_noedge,0.91920845200617,0.40745746779478076,0.977051785481895,0.9884705932289972,1.9416437407180374,0.9072887046646526,0.9021153092612039,0.9515408216111609
fold5_khopgnn_graphsage_2_noedge,0.7924132900336693,0.36742787502180213,0.9829460735946746,0.991461631589722,2.0174682784974936,0.9286038029284878,0.8943208993764858,0.9471125128416907
fold5_khopgnn_graphsage_1_noedge,1.0241964097545413,0.5031542465842205,0.971510332461876,0.9857410042141178,1.7630889918277626,0.9124006205842695,0.9192905948293374,0.9625467508496863
fold5_khopgnn_gin_3_noedge,0.5981621004491444,0.2725125459619275,0.9902824078342873,0.9954737654445024,1.7583469968575507,0.8131026666582996,0.9197241621755665,0.962322177346171
fold5_khopgnn_mpnn_3_noedge,0.9542778539383504,0.44817152314428127,0.9752673544565202,0.987792408031515,1.7092565794482317,0.8484536568627102,0.9241439543225962,0.964335681104932
fold1_khopgnn_graphsage_2_noedge,1.0356278656916007,0.4911596760605213,0.9708774912920897,0.9858797873521662,1.5143775263690937,0.8336623754182356,0.9415228253897788,0.9707572742050394
fold1_khopgnn_mpnn_3_noedge,1.257921348035526,0.6130750148205214,0.9570336656282168,0.9785436902240989,1.6972889453373974,0.9049343756920598,0.9265436010262267,0.962722492399771
fold1_khopgnn_gin_3_noedge,0.8492217959238895,0.362873267359278,0.9804177048063957,0.9904692225285394,1.5680742492390398,0.8069726382895681,0.9373023425259667,0.9684922173903765
fold1_khopgnn_gin_1_noedge,0.8009695570809685,0.3548567066207272,0.9825797915038814,0.9913261942363154,1.633068094103386,0.799610028482492,0.9319972216386513,0.9655963286048629
fold1_khopgnn_mpnn_1_noedge,1.1088150299059472,0.5302538762761294,0.9666159104192797,0.9834942637137901,1.5512879367513874,0.7875891414049574,0.9386375205504492,0.9693880438722964
fold1_khopgnn_graphsage_3_noedge,0.9054986641585536,0.47681056664552796,0.9777363197168358,0.9899397470848388,1.6016663040031553,0.8371776002512346,0.9345872892565312,0.9679669404048291
fold1_khopgnn_graphsage_1_noedge,1.2315443824481567,0.6207330862383664,0.9588166696129845,0.9794017407977598,1.5200736668747459,0.8414543401449919,0.9410820889906876,0.9702672030422441
