epoch,train_loss,train_rmse,train_mae,val_loss,val_mae,val_rmse,test_loss,test_mae,test_rmse
1,10.405347217874523,12.066731945468973,10.405347217874523,9.672708761556066,9.672708761556066,11.437273738158893,9.422102076406697,9.422102076406697,10.864285737846325
2,8.021155487655399,9.958299727114712,8.021155487655399,4.887709766286408,4.887709766286408,5.993980931352804,4.320275743499057,4.320275743499057,5.296730176103781
3,3.7029862083249507,5.014144437450651,3.7029862083249507,4.5864941194483535,4.5864941194483535,5.514373451578669,4.697865857422807,4.697865857422807,5.800479450778004
4,2.96571528394278,4.116498648807669,2.96571528394278,4.189312594018508,4.189312594018508,5.258454260507241,4.283771463932882,4.283771463932882,5.566939626100586
5,2.602101409213567,3.7822638920050435,2.602101409213567,1.9537448719880426,1.9537448719880426,2.8615458716878095,1.8590602437958463,1.8590602437958463,2.804590771839953
6,2.2283683016462787,3.3864704976493423,2.2283683016462787,1.8108613518254386,1.8108613518254386,2.685869385232002,1.7881912766522123,1.7881912766522123,2.7088016715096215
7,2.032690014222945,3.179597057270674,2.032690014222945,1.765289162501636,1.765289162501636,2.7452552402050787,1.7735675746247967,1.7735675746247967,2.6367401669198407
8,1.8473583635513022,2.9837592823708916,1.8473583635513022,1.4512563069057103,1.4512563069057103,2.285833101863016,1.485078314788469,1.485078314788469,2.426406289337587
9,1.7021441737640228,2.777239440109369,1.7021441737640228,1.7634287895811829,1.7634287895811829,2.702737583311996,1.7334012002435348,1.7334012002435348,2.5675563639011485
10,1.601549203360598,2.6462479892888977,1.601549203360598,1.252397724430824,1.252397724430824,2.0385024451121714,1.2724985439358776,1.2724985439358776,2.1334374850240403
11,1.4588317149130003,2.495809723663512,1.4588317149130003,1.172503106494367,1.172503106494367,1.8977740461244967,1.2540510119372652,1.2540510119372652,2.0591766457384018
12,1.4326171511744226,2.5015763700946376,1.4326171511744226,1.2920081833016284,1.2920081833016284,1.9528561710673704,1.3551879529734605,1.3551879529734605,2.165152323026723
13,1.3467932816454498,2.3166236981472403,1.3467932816454498,1.8558833889181623,1.8558833889181623,2.7186575997632865,1.7557011196631511,1.7557011196631511,2.5601785727546567
14,1.2811574103096637,2.290025313922662,1.2811574103096637,1.1873639060517227,1.1873639060517227,1.8238219244048597,1.2639180212530472,1.2639180212530472,2.056084213595913
15,1.2779061174074353,2.2902912348864133,1.2779061174074353,1.0154026828337985,1.0154026828337985,1.7707240161729088,1.1256482400966965,1.1256482400966965,1.9444200862734868
16,1.2648991696540095,2.256496176358115,1.2648991696540095,1.6710592236355684,1.6710592236355684,2.5720565754431144,1.6120509810120094,1.6120509810120094,2.402798407337576
17,1.2277455692866557,2.2000763915411676,1.2277455692866557,1.4358348511017773,1.4358348511017773,2.1948297498725573,1.4340762837242533,1.4340762837242533,2.1585198681251794
18,1.1787184019229726,2.1418901620504682,1.1787184019229726,0.9877520704450716,0.9877520704450716,1.7119255662840998,1.0827854080054595,1.0827854080054595,1.8343227832706763
19,1.1648398076686395,2.090301188788189,1.1648398076686395,0.9253157909832074,0.9253157909832074,1.6172861783959291,1.0383540546621075,1.0383540546621075,1.772605780240835
20,1.1507017166772568,2.0566996629316576,1.1507017166772568,1.0259492401841022,1.0259492401841022,1.666725112128394,1.1796349623731075,1.1796349623731075,1.9171241863478348
21,1.1362968434819052,2.1140331586429375,1.1362968434819052,0.9239881147449914,0.9239881147449914,1.6316496939056935,1.015475826409027,1.015475826409027,1.7255754747657228
22,1.0789988955032501,2.002066532259165,1.0789988955032501,0.9315408060305925,0.9315408060305925,1.6372385594914156,1.02511849294182,1.02511849294182,1.7421228062968577
23,1.0902783855632423,2.042237948052475,1.0902783855632423,0.916116558780235,0.916116558780235,1.618737686058644,1.0097627002774303,1.0097627002774303,1.7174402873582169
24,1.0750050456625084,2.0188832419454115,1.0750050456625084,0.8784899720674232,0.8784899720674232,1.5089726183953733,0.9952837419873886,0.9952837419873886,1.6940716690508093
25,1.0659850453216233,1.9609817115818255,1.0659850453216233,0.879689961785146,0.879689961785146,1.5132538639832345,0.9580404012257816,0.9580404012257816,1.671454787829393
26,0.9959086800508403,1.88888581025356,0.9959086800508403,0.8634437456330419,0.8634437456330419,1.5358199744916035,0.9413007579686987,0.9413007579686987,1.650761958400528
27,1.0095897632436521,1.8895577911427888,1.0095897632436521,0.8789993510953373,0.8789993510953373,1.5048314634379223,0.9712689650877742,0.9712689650877742,1.6611985786599952
28,0.937165277255508,1.8327535696125168,0.937165277255508,0.96929617753047,0.96929617753047,1.6754568259400426,0.9993021579189155,0.9993021579189155,1.657465876767311
29,0.9724204651673862,1.8669265196558744,0.9724204651673862,0.9291976905594307,0.9291976905594307,1.5695693891653033,0.9800272579411514,0.9800272579411514,1.6228479593280416
30,0.9414900572571688,1.8467218607564626,0.9414900572571688,1.1684604543243524,1.1684604543243524,1.912580692402796,1.1640176736671506,1.1640176736671506,1.8049233597198542
31,0.9432139830414205,1.8174517156967505,0.9432139830414205,0.7818923384064504,0.7818923384064504,1.4365716600378984,0.8763704554725239,0.8763704554725239,1.5355764000482266
